anio,mes,dia,fecha,temperatura maxima,temperatura minima,temperatura media,lluvia media,brillo solar total,radiacion media,evaporacion tanque total,evaporacion piche total,nubosidad media,dir viento predominante,velocidad viento media,humedad relativa media,presion atmosferica media,temperatura suelo 1
1970,1,1,1970/1/1,30,21.5,25.7,0.2,0.3,-99.9,0.1,0.1,-99.9,-99.9,1.8,-99.9,763.3,25
1970,1,2,1970/1/2,30,21,25.5,0,6.9,-99.9,0.2,0.3,-99.9,-99.9,2.3,-99.9,762,26.4
1970,1,3,1970/1/3,31,22,26.5,0,9,-99.9,2.8,2.3,-99.9,-99.9,2.5,-99.9,762.8,26.5
1970,1,4,1970/1/4,31.5,21.5,26.5,0,8.2,-99.9,3,2.5,-99.9,-99.9,2.7,-99.9,759.9,27.7
1970,1,5,1970/1/5,31.5,20.5,26,0.2,8.8,-99.9,3.1,2.4,-99.9,-99.9,2.2,-99.9,761.9,27.5
1970,1,6,1970/1/6,32,21,26.5,0,1.4,-99.9,3.5,3,-99.9,-99.9,3,-99.9,764,27.4
1970,1,7,1970/1/7,23.5,19.5,21.5,2.4,6,-99.9,1.3,1.3,-99.9,-99.9,3.3,-99.9,764,27.3
1970,1,8,1970/1/8,24.5,18,21.2,3.4,3,-99.9,2.8,2.3,-99.9,-99.9,3.1,-99.9,764.8,26.9
1970,1,9,1970/1/9,22,17.5,19.7,0,3.1,-99.9,1.7,1.3,-99.9,-99.9,1.6,-99.9,764.1,25.6
1970,1,10,1970/1/10,22.5,18,20.2,0,6.2,-99.9,1.6,1.8,-99.9,-99.9,1.4,-99.9,764.3,26.7
1970,1,11,1970/1/11,26.5,14.5,20.5,9.1,4.4,-99.9,1.6,2.3,-99.9,-99.9,2,-99.9,765.8,26.5
1970,1,12,1970/1/12,28.5,15,21.7,1.9,0,-99.9,3.2,2.3,-99.9,-99.9,2.2,-99.9,766.5,24.8
1970,1,13,1970/1/13,29.5,17,23.2,0,5.1,-99.9,0,0.1,-99.9,-99.9,2.9,-99.9,766.1,25.1
1970,1,14,1970/1/14,30,21,25.5,0,5.1,-99.9,2.4,2.3,-99.9,-99.9,2.7,-99.9,766.2,26.1
1970,1,15,1970/1/15,30.5,20.5,25.5,0.7,2.6,-99.9,1.2,2.4,-99.9,-99.9,2.6,-99.9,767.5,25.2
1970,1,16,1970/1/16,30,19,24.5,4.1,0.2,-99.9,2.2,1.9,-99.9,-99.9,2.4,-99.9,768.6,24.5
1970,1,17,1970/1/17,30.5,18,24.2,0,8.4,-99.9,0.7,1.4,-99.9,-99.9,3.2,-99.9,765.3,24.4
1970,1,18,1970/1/18,30.5,16.5,23.5,0,9.1,-99.9,3.1,2.5,-99.9,-99.9,2.1,-99.9,762,25.5
1970,1,19,1970/1/19,31.5,15.5,23.5,6.5,6.6,-99.9,2.8,2.4,-99.9,0.1,3.7,-99.9,765,25.5
1970,1,20,1970/1/20,31.5,17,24.2,0,7.1,-99.9,2.4,2.5,-99.9,-99.9,3.3,-99.9,769.3,25.6
1970,1,21,1970/1/21,28.5,19,23.7,0,0.7,-99.9,3.4,3.5,-99.9,-99.9,1.6,-99.9,768.9,24.6
1970,1,22,1970/1/22,30,20,25,0,8.7,-99.9,0.9,1.6,-99.9,-99.9,2.2,-99.9,765.5,25.7
1970,1,23,1970/1/23,30,20,25,0,8.7,-99.9,2.6,3,-99.9,-99.9,2.5,-99.9,763.4,26.4
1970,1,24,1970/1/24,30,21,25.5,0,7,-99.9,4.4,3,-99.9,-99.9,2.1,-99.9,762.8,26.5
1970,1,25,1970/1/25,30.5,20,25.2,0,8.9,-99.9,2.9,2.5,-99.9,-99.9,2.8,-99.9,764.6,27.2
1970,1,26,1970/1/26,30.5,19.5,24.7,0,6.7,-99.9,4,3.7,-99.9,-99.9,3,-99.9,765.6,26.8
1970,1,27,1970/1/27,30.5,20,25.2,2,4,-99.9,2.6,3.1,-99.9,-99.9,2.6,-99.9,766.8,25.5
1970,1,28,1970/1/28,31,20.5,25.7,6.9,1.8,-99.9,2.2,2.6,-99.9,-99.9,2,-99.9,767,24.9
1970,1,29,1970/1/29,31,20,25.5,0,8.7,-99.9,0.6,1.1,-99.9,-99.9,2.8,-99.9,766.5,26
1970,1,30,1970/1/30,31.5,20.5,26,0,9.4,-99.9,3.3,2.9,-99.9,-99.9,2.1,-99.9,764.1,25.8
1970,1,31,1970/1/31,30.5,20,25.2,0,9.6,-99.9,4.3,2.9,-99.9,-99.9,-99.9,-99.9,761.7,26.1
1970,2,1,1970/2/1,-99.9,-99.9,-99.9,0,8.3,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1970,2,2,1970/2/2,-99.9,-99.9,-99.9,0,9.5,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1970,2,3,1970/2/3,-99.9,-99.9,-99.9,0,0.4,-99.9,-99.9,-99.9,-99.9,0.3,-99.9,-99.9,-99.9,-99.9
1970,2,4,1970/2/4,-99.9,-99.9,-99.9,0,1.8,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1970,2,5,1970/2/5,-99.9,-99.9,-99.9,0,6.3,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
