AÑO,mes,dia,fecha,temperatura maxima,temperatura minima,temperatura media,lluvia media
2000,1,1,2000/1/1,30.5,12.5,23.4,0
2000,1,2,2000/1/2,32.5,12.8,26.2,0
2000,1,3,2000/1/3,33.8,12.8,27.4,0
2000,1,4,2000/1/4,33,17.4,26.9,0
2000,1,5,2000/1/5,31.5,17.5,24.5,0
2000,1,6,2000/1/6,30.8,14.4,24.2,0
2000,1,7,2000/1/7,31.7,16,25.3,0
2000,1,8,2000/1/8,32,18.8,26.7,0
2000,1,9,2000/1/9,33,16.7,26.7,0
2000,1,10,2000/1/10,35,17.4,27.9,0
2000,1,11,2000/1/11,30.5,16.5,24.1,0
2000,1,12,2000/1/12,29.2,17.2,23.8,0
2000,1,13,2000/1/13,29.2,18,24.5,0
2000,1,14,2000/1/14,28,16,22.8,0
2000,1,15,2000/1/15,29.2,16.8,22.8,0.2
2000,1,16,2000/1/16,28.8,17,23,0.1
2000,1,17,2000/1/17,28.4,16,22.4,0
2000,1,18,2000/1/18,28.4,15.5,23,0
2000,1,19,2000/1/19,29.5,15,22.9,0
2000,1,20,2000/1/20,31.7,15.2,24.4,0
2000,1,21,2000/1/21,31.4,15,24.1,0
2000,1,22,2000/1/22,31.2,15.2,24.1,0
2000,1,23,2000/1/23,35.6,14,25.5,0
2000,1,24,2000/1/24,34.5,17.5,26.7,0
2000,1,25,2000/1/25,31,16.5,24,0
2000,1,26,2000/1/26,31,15.8,24.3,0
2000,1,27,2000/1/27,31.8,13.4,23.4,0
2000,1,28,2000/1/28,32.8,15,25.1,0
2000,1,29,2000/1/29,32.6,18.5,25.6,0
2000,1,30,2000/1/30,32.2,20.5,26.1,0
2000,1,31,2000/1/31,33.4,20.5,27.1,0
2000,2,1,2000/2/1,35.2,18.6,27.3,0
2000,2,2,2000/2/2,33.2,19,26.5,0
2000,2,3,2000/2/3,33.4,18.5,26.3,0
2000,2,4,2000/2/4,32.4,17,26.1,0
2000,2,5,2000/2/5,32,17.2,25.2,0
2000,2,6,2000/2/6,29.6,16,22.9,0
2000,2,7,2000/2/7,27.4,17.3,22,0
2000,2,8,2000/2/8,30.5,18.8,24.8,0
2000,2,9,2000/2/9,29,18.5,24,0
2000,2,10,2000/2/10,31,17,24.2,0
2000,2,11,2000/2/11,32.5,13.2,23.8,0
2000,2,12,2000/2/12,35.4,16,26.6,0
2000,2,13,2000/2/13,36.6,17.5,28.1,0
2000,2,14,2000/2/14,36.7,18.4,28.2,0
2000,2,15,2000/2/15,35.2,19.6,28.5,0
2000,2,16,2000/2/16,35,18.4,26.9,0
2000,2,17,2000/2/17,33.4,16.5,25.9,0
2000,2,18,2000/2/18,34.2,19,26.7,0
2000,2,19,2000/2/19,33.2,17.7,26.7,0
2000,2,20,2000/2/20,28,19.5,23.1,0
2000,2,21,2000/2/21,32,16,23.8,0
2000,2,22,2000/2/22,27,16.4,22.8,0
2000,2,23,2000/2/23,32,14.5,24.4,0
2000,2,24,2000/2/24,32.5,17.5,25.6,0
2000,2,25,2000/2/25,33.2,19.8,27,0
2000,2,26,2000/2/26,35,19.5,27.8,0
2000,2,27,2000/2/27,32.7,20,26.9,0
2000,2,28,2000/2/28,31.6,18,29.7,0
2000,2,29,2000/2/29,31.2,15.4,24,0
2000,3,1,2000/3/1,32.6,18,26.3,0
2000,3,2,2000/3/2,32,16.6,25.7,0
2000,3,3,2000/3/3,35.2,18.2,27,0
2000,3,4,2000/3/4,35.2,18.2,27.7,0
2000,3,5,2000/3/5,34.6,19.4,28.1,0
2000,3,6,2000/3/6,35.5,19,28,0
2000,3,7,2000/3/7,34,20,27.7,0
2000,3,8,2000/3/8,33.2,20.4,20.8,0
