Fecha,Hora,Bateria [Med] [V],Hum. Rel [Med] [%],Lluvia [Acu] [mm],Temp. Ai [Med] [°C],D.Viento [Med] [°],P.Rocio [Med] [°C],Evap. [Inc] [mm],R.Global1 [Med] [W/m2],V.Viento [Med] [Km/h]
01/01/2011,0:00:00,12.8,66.57,0,7.65,82.94,1.74,-0.05,0,2.76
01/01/2011,1:00:00,12.78,65.68,0,6.82,105.97,0.72,-0.04,0,2.98
01/01/2011,2:00:00,12.74,68.2,0,5.97,102.35,0.47,-0.04,0,3
01/01/2011,3:00:00,12.72,75.11,0,4.61,225,0.52,-0.01,0,1.58
01/01/2011,4:00:00,12.69,75.78,0,4.36,86.69,0.4,-0.01,0,2.29
01/01/2011,5:00:00,12.66,75.19,0,3.92,126.21,-0.13,-0.01,0,2.21
01/01/2011,6:00:00,12.63,78.81,0,3.1,161.96,-0.27,0,0,2.04
01/01/2011,7:00:00,12.65,76.33,0,3.36,156.78,-0.46,0,5.26,2.48
01/01/2011,8:00:00,13.32,67.72,0,5.2,106.58,-0.48,-0.05,160.95,1.86
01/01/2011,9:00:00,13.59,47.61,0,10.3,243.91,-0.47,-0.04,449.73,2.42
01/01/2011,10:00:00,13.61,33.88,0,15.02,213.37,-1.01,-0.01,666.21,2.7
01/01/2011,11:00:00,13.63,25.3,0,20.2,27.14,-0.4,-0.15,832.16,11.47
01/01/2011,12:00:00,13.64,17.79,0,21.57,25.2,-4.09,-0.19,934.74,13.98
01/01/2011,13:00:00,13.65,11.94,0,22.16,28.48,-8.68,-0.15,953.96,13.92
01/01/2011,14:00:00,13.67,9.26,0,22.75,22.99,-11.4,-0.33,894.99,13.04
01/01/2011,15:00:00,13.67,7.59,0,22.55,31.83,-13.98,-0.35,759.32,14.17
01/01/2011,16:00:00,13.67,10.06,0,21.59,34.7,-11.34,-0.57,538.08,14.69
01/01/2011,17:00:00,13.66,12.58,0,19.7,38.78,-9.95,-0.4,288.33,15.79
01/01/2011,18:00:00,13.35,14.52,0,16.96,39.6,-10.46,-0.32,48.07,12.65
01/01/2011,19:00:00,12.96,23.85,0,13.8,10.7,-6.74,-0.23,0,4.36
01/01/2011,20:00:00,12.91,33.8,0,11.58,124.26,-4.03,-0.05,0,3.41
01/01/2011,21:00:00,12.87,48.36,0,10.56,84.46,-0.06,-0.04,0,3.08
01/01/2011,22:00:00,12.84,50.76,0,9.56,100.16,-0.25,-0.06,0,3.45
01/01/2011,23:00:00,12.81,50.11,0,8.85,94.23,-1.09,-0.03,0,3.1
01/02/2011,0:00:00,12.79,47.17,0,8.02,115.81,-2.72,-0.07,0,2.82
01/02/2011,1:00:00,12.77,55.26,0,6.6,118.44,-1.84,-0.02,0,1.72
01/02/2011,2:00:00,12.74,60.11,0,5.74,179.12,-1.49,-0.01,0,1.55
01/02/2011,3:00:00,12.71,66.33,0,5.29,138.22,-0.57,-0.01,0,1.47
01/02/2011,4:00:00,12.69,70.71,0,5.41,123.32,0.44,-0.05,0,2
01/02/2011,5:00:00,12.66,74.64,0,5.07,121.52,0.88,0,0,1.45
01/02/2011,6:00:00,12.64,75.84,0,5.24,95.2,1.27,0,0,3.39
01/02/2011,7:00:00,12.65,72.89,0,6.52,106.81,1.95,-0.01,4.96,3.5
01/02/2011,8:00:00,13.32,68.07,0,8.71,111.89,3.01,-0.03,160.51,2.9
01/02/2011,9:00:00,13.59,50,0,13.68,45.66,3.32,-0.21,462.69,15.7
01/02/2011,10:00:00,13.61,49.21,0,15.3,39.81,4.61,-0.07,684.74,16.18
01/02/2011,11:00:00,13.62,48.96,0,16.85,41.48,5.97,-0.3,838.64,16.69
01/02/2011,12:00:00,13.63,49.12,0,17.33,32.23,6.46,-0.13,932.4,17.31
01/02/2011,13:00:00,13.64,51.21,0,17.31,13.45,7.06,-0.17,943.41,16.82
01/02/2011,14:00:00,13.65,48.12,0,17.88,30.3,6.65,-0.24,883.44,16.55
01/02/2011,15:00:00,13.65,44.6,0,18.44,32.69,6.08,-0.34,757.08,16.59
01/02/2011,16:00:00,13.65,48.4,0,17.79,30.11,6.67,-0.21,522.29,14.01
01/02/2011,17:00:00,13.64,58.37,0,15.41,35,7.17,-0.38,201.86,15.06
01/02/2011,18:00:00,13.34,65.95,0,13.79,18.21,7.46,-0.17,48.81,9.05
01/02/2011,19:00:00,12.96,73.53,0,12.48,14.5,7.82,-0.31,0,12.43
01/02/2011,20:00:00,12.92,76.69,0,11.8,24.87,7.79,-0.17,0,16.01
01/02/2011,21:00:00,12.89,75.71,0,11.48,31.6,7.29,-0.23,0,25.27
01/02/2011,22:00:00,12.87,76.33,0,11.24,31.99,7.19,-0.1,0,24.43
01/02/2011,23:00:00,12.85,79.45,0,11.07,10.34,7.61,-0.01,0,11.67
01/03/2011,0:00:00,12.84,78.16,0,11.05,0.56,7.35,0.07,0,13.04
01/03/2011,1:00:00,12.82,76.46,0,10.66,7.97,6.64,-0.01,0,7.63
01/03/2011,2:00:00,12.79,74.48,0,10.28,24.34,5.89,-0.03,0,7.64
01/03/2011,3:00:00,12.77,76.14,0,9.9,7.26,5.84,-0.02,0,9.48
01/03/2011,4:00:00,12.74,77.01,0,9.24,1.88,5.37,-0.02,0,8.31
01/03/2011,5:00:00,12.71,78.29,0,8.83,3.76,5.21,0,0,6.33
01/03/2011,6:00:00,12.68,79.18,0,8.14,38.85,4.7,-0.06,0,5.99
01/03/2011,7:00:00,12.73,78.79,0,8.07,41.27,4.56,0,6.54,7.2
01/03/2011,8:00:00,13.38,72.52,0,9.65,29.54,4.87,-0.01,166.87,11.35
01/03/2011,9:00:00,13.59,56.6,0,12.18,35.44,3.63,-0.1,471.06,15.74
01/03/2011,10:00:00,13.61,46.07,0,14.7,29.64,3.11,-0.1,699.34,15
01/03/2011,11:00:00,13.62,38.73,0,15.97,32.8,1.79,-0.03,854.37,18.98
01/03/2011,12:00:00,13.63,37.05,0,16.61,38.9,1.77,-0.14,945.07,22.51
01/03/2011,13:00:00,13.63,32.76,0,18.04,40.69,1.29,-0.3,952.91,19.15
01/03/2011,14:00:00,13.64,26.69,0,18.61,37.86,-1.05,-0.27,894.81,20.66
01/03/2011,15:00:00,13.65,25.31,0,18.05,39.83,-2.24,-0.44,754.67,21.5
01/03/2011,16:00:00,13.65,28.32,0,17.14,25.21,-1.53,-0.47,522.19,15.99
01/03/2011,17:00:00,13.64,36.34,0,14.86,18.29,-0.08,-0.37,291.43,17.53
01/03/2011,18:00:00,13.37,46.44,0,11.92,20.04,0.64,-0.45,47.84,17.91
01/03/2011,19:00:00,12.95,57.79,0,10.03,30.57,1.98,-0.32,0,15.91
01/03/2011,20:00:00,12.9,66.85,0,9.29,23.2,3.37,-0.1,0,15.24
01/03/2011,21:00:00,12.87,69.46,0,9.24,31.94,3.87,-0.15,0,18.23
01/03/2011,22:00:00,12.85,51.28,0,9.37,34.01,-0.41,-0.13,0,16.49
01/03/2011,23:00:00,12.83,39.4,0,9.46,27.62,-3.8,-0.08,0,15.45
01/04/2011,0:00:00,12.82,37.78,0,9.33,33.42,-4.49,-0.05,0,11.49
01/04/2011,1:00:00,12.8,50.07,0,8.52,23.18,-1.42,-0.01,0,11.37
01/04/2011,2:00:00,12.77,48.85,0,8.65,26.07,-1.64,-0.15,0,12.01
01/04/2011,3:00:00,12.75,41.52,0,8.47,12.24,-4,-0.08,0,6.81
01/04/2011,4:00:00,12.72,41.29,0,8.31,22.22,-4.21,-0.02,0,8.32
01/04/2011,5:00:00,12.69,46.34,0,8.45,27.73,-2.55,-0.04,0,10.26
01/04/2011,6:00:00,12.67,48.41,0,8.04,33.29,-2.31,-0.02,0,8.05
01/04/2011,7:00:00,12.76,52.06,0,6.44,26.08,-2.81,-0.01,11.17,2.97
01/04/2011,8:00:00,13.4,46.84,0,8.09,277,-2.8,0,165.45,3.85
01/04/2011,9:00:00,13.59,31.97,0,12.06,169.4,-4.42,-0.01,466.39,4.45
01/04/2011,10:00:00,13.61,22.99,0,14.01,37.38,-6.95,-0.09,706.82,14.7
01/04/2011,11:00:00,13.62,24.4,0,15.49,30.81,-4.89,-0.15,860.95,14.05
01/04/2011,12:00:00,13.63,20.56,0,17.14,28.13,-5.77,-0.15,949.19,13.21
01/04/2011,13:00:00,13.64,19.41,0,18.08,25.46,-5.72,-0.31,962.17,16.14
01/04/2011,14:00:00,13.65,22.12,0,18.88,21.21,-3.32,-0.24,895.78,16.05
01/04/2011,15:00:00,13.65,24.4,0,18.86,26.95,-2.02,-0.44,754.46,17.53
01/04/2011,16:00:00,13.65,27.93,0,18.47,21.35,-0.53,-0.35,517.3,15.6
01/04/2011,17:00:00,13.64,37.71,0,16.36,26.7,1.73,-0.34,170.59,13.66
01/04/2011,18:00:00,13.43,50.3,0,14,40.7,3.69,-0.16,52.27,12.9
01/04/2011,19:00:00,12.96,60.8,0,12.09,39.22,4.67,-0.21,0,12.17
01/04/2011,20:00:00,12.92,64.14,0,10.84,70.33,4.25,-0.13,0,4.42
01/04/2011,21:00:00,12.88,69.48,0,9.23,87.44,3.87,-0.01,0,3.12
01/04/2011,22:00:00,12.85,74.47,0,8.06,104.08,3.74,-0.01,0,2.88
01/04/2011,23:00:00,12.82,77.22,0,7.31,155.33,3.53,0,0,2.08
01/05/2011,0:00:00,12.8,83.46,0,6.06,167.07,3.43,0,0,2.15
01/05/2011,1:00:00,12.77,84.47,0,5.7,117.98,3.25,-0.01,0,2.03
01/05/2011,2:00:00,12.74,87.7,0,4.76,200.44,2.86,0,0,1.83
01/05/2011,3:00:00,12.72,90.24,0,4.08,185.62,2.61,0,0,1.59
01/05/2011,4:00:00,12.69,91.89,0,3.84,110.96,2.62,0,0,2.06
01/05/2011,5:00:00,12.65,92.26,0,3.31,107.24,2.16,-0.01,0,1.88
01/05/2011,6:00:00,12.62,93.37,0,2.94,163.25,1.96,0,0,2.49
01/05/2011,7:00:00,12.64,96.92,0,2.94,162.93,2.5,0,5.1,2.32
01/05/2011,8:00:00,13.3,93,0,3.03,235.48,1.98,0,146.26,1.9
01/05/2011,9:00:00,13.58,76.15,0,7.59,226.19,3.56,-0.01,431.33,2.38
01/05/2011,10:00:00,13.6,56.31,0,13.19,299.81,4.5,-0.02,653.39,2.89
01/05/2011,11:00:00,13.63,44.74,0,17.51,78.43,5.27,-0.07,829.91,5.88
01/05/2011,12:00:00,13.64,42.57,0,18.8,41.1,5.72,-0.15,848.18,11.38
01/05/2011,13:00:00,13.64,38.73,0,19.73,35.25,5.2,-0.08,832.03,11.37
01/05/2011,14:00:00,13.66,37.49,0,19.99,35.65,4.96,-0.13,666.44,10.76
01/05/2011,15:00:00,13.66,37.79,0,19.99,7.8,5.08,-0.21,605.3,10.91
01/05/2011,16:00:00,13.65,42.34,0,18.68,35.89,5.53,-0.28,294.97,12.97
01/05/2011,17:00:00,13.64,47.55,0,17.24,37.7,5.91,-0.26,162.86,13.18
01/05/2011,18:00:00,13.39,51.38,0,15.79,23.27,5.67,-0.13,46.09,8.42
